217,0,1656518501,1,33,0,217,2,1,False,1,5,active,,,[],4903.08,Old Fulton St,classic,True,40.70277159,71,39,217,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3708-0aca-11e7-82f6-3863bb44ef7c,-73.99383605,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
223,27,1656518397,1,6,0,223,0,1,False,1,0,active,,,[],6030.04,W 13 St & 7 Ave,classic,True,40.73781509,71,33,223,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3816-0aca-11e7-82f6-3863bb44ef7c,-73.99994661,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
224,0,1656517787,1,5,1,224,2,1,False,1,28,active,,,[],5137.10,Spruce St & Nassau St,classic,True,40.71146364,71,34,224,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3898-0aca-11e7-82f6-3863bb44ef7c,-74.00552427,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
228,0,1656518029,1,6,2,228,6,1,False,1,47,active,,,[],6541.03,E 48 St & 3 Ave,classic,True,40.7546011026,71,55,228,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3997-0aca-11e7-82f6-3863bb44ef7c,-73.971878855,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
229,0,1656518202,1,1,4,229,1,1,False,1,17,active,,,[],5636.11,Great Jones St,classic,True,40.72743423,71,23,229,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3a1e-0aca-11e7-82f6-3863bb44ef7c,-73.99379025,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
232,0,1656518421,1,2,5,232,1,1,False,1,44,active,,,[],4677.01,Cadman Plaza E & Tillary St,classic,True,40.69597683,71,52,232,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3aa3-0aca-11e7-82f6-3863bb44ef7c,-73.99014892,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
236,0,1656518462,1,0,29,236,1,1,False,1,22,active,,,[],5669.10,St Marks Pl & 2 Ave,classic,True,40.7284186,71,51,236,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3ba0-0aca-11e7-82f6-3863bb44ef7c,-73.98713956,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
238,0,1656518422,1,3,18,238,0,1,False,1,10,active,,,[],5964.01,Bank St & Washington St,classic,True,40.7361967,71,31,238,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3cab-0aca-11e7-82f6-3863bb44ef7c,-74.00859207,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
239,1,1656518256,1,3,1,239,0,1,False,1,57,active,,,[],4628.05,Willoughby St & Fleet St,classic,True,40.69196566,71,62,239,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3d2a-0aca-11e7-82f6-3863bb44ef7c,-73.9813018,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
241,0,1656518281,1,1,1,241,0,1,False,1,21,active,,,[],4546.04,DeKalb Ave & S Portland Ave,classic,True,40.68981035,71,23,241,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3da9-0aca-11e7-82f6-3863bb44ef7c,-73.97493121,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
242,0,86400,0,0,0,242,0,0,False,0,0,out_of_service,,,[],4732.08,Carlton Ave & Flushing Ave,classic,True,40.697787,71,0,242,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3e32-0aca-11e7-82f6-3863bb44ef7c,-73.973736,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
244,0,1656518345,1,3,37,244,0,1,False,1,10,active,,,[],4611.03,Willoughby Ave & Hall St,classic,True,40.69196035,71,51,244,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3f01-0aca-11e7-82f6-3863bb44ef7c,-73.96536851,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
245,0,1656518127,1,2,2,245,0,1,False,1,52,active,,,[],4659.02,Myrtle Ave & St Edwards St,classic,True,40.69327018,71,56,245,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",False,False,66db3f62-0aca-11e7-82f6-3863bb44ef7c,-73.97703874,"['KEY', 'CREDITCARD']",2022-06-29 12:02:37.432471
